"delta_mass","number_of_drug_analog","masst_detection"
"-0.98",21,15
"-1.98",26,19
"-100.02",7,3
"-11.96",7,4
"-116.06",28,13
"-116.08",8,4
"-12",42,34
"-12.00",5,3
"-12.04",46,37
"-129.08",3,1
"-13.98",40,16
"-132.08",10,9
"-14.02",247,221
"-15.01",9,2
"-15.97",3,1
"-15.98",8,4
"-15.99",54,44
"-16.03",28,21
"-162.05",7,5
"-17.03",29,23
"-17.97",5,1
"-17.99",3,2
"-176.1",2,2
"-18.01",91,84
"-2.02",81,62
"-20.01",7,4
"-20.03",6,5
"-21.98",11,5
"-26.02",41,34
"-27.05",8,2
"-27.99",25,21
"-28.03",93,82
"-29.97",31,29
"-3.99",23,18
"-30.01",32,26
"-31.99",22,17
"-36.02",13,10
"-38.02",20,8
"-39.01",4,1
"-4.00",3,3
"-4.03",20,14
"-4.96",2,2
"-40.03",26,13
"-42.01",37,30
"-42.05",25,17
"-43.01",4,2
"-43.04",6,3
"-43.99",21,18
"-44.03",35,28
"-44.99",1,1
"-45.02",1,0
"-49.99",5,3
"-54.03",5,2
"-56.03",18,15
"-56.06",18,15
"-58.01",40,36
"-58.04",8,8
"-59.98",3,1
"-60.02",22,17
"-61.05",5,3
"-63.96",8,1
"-68.06",12,8
"-70.08",3,1
"-76.03",14,6
"-79.96",2,2
"-88.05",15,12
"-90.05",15,4
"0.98",37,33
"1",132,120
"1.00",1,1
"1.94",17,13
"1.98",55,46
"11.96",1,1
"12",33,17
"12.04",22,8
"13.98",72,64
"14.02",133,113
"14.96",18,16
"15",6,6
"15.00",1,1
"15.01",12,5
"15.96",11,9
"15.97",17,9
"15.99",250,227
"16.03",58,22
"162.05",10,9
"17.03",50,44
"176.03",23,22
"18.01",49,39
"18.99",4,1
"192.03",9,8
"2",100,79
"2.00",3,2
"2.02",84,70
"20.03",6,3
"21.98",13,11
"25",2,2
"27.05",6,2
"27.99",88,80
"28.00",3,3
"28.03",89,56
"28.99",8,4
"29.97",62,43
"29.99",1,1
"3",13,10
"3.99",36,26
"30.01",44,36
"31.99",34,26
"34.01",11,6
"36.02",9,3
"37.95",3,0
"37.96",3,2
"4.03",27,10
"4.96",1,0
"42.01",29,24
"43.04",8,4
"43.99",22,17
"44.03",7,2
"45.99",9,4
"57.02",10,9
"58.01",17,7
"59.98",1,1
"61.05",4,4
"63.98",3,1
"79.96",8,4
